CUADRANTE,POBLACION,PROMEDIO DE ROBOS A CASA HABITACION MES 1,PROMEDIO DE ROBOS A CASA HABITACION MES 2,PROMEDIO DE ROBOS A CASA HABITACION MES 3,PROMEDIO DE ROBOS A CASA HABITACION MES 4,PROMEDIO DE ROBOS A CASA HABITACION MES 5,PROMEDIO DE ROBOS A CASA HABITACION MES 6,PROMEDIO DE ROBOS A CASA HABITACION MES 7,PROMEDIO DE ROBOS A CASA HABITACION MES 8,PROMEDIO DE ROBOS A CASA HABITACION MES 9,PROMEDIO DE ROBOS A CASA HABITACION MES 10,PROMEDIO DE ROBOS A CASA HABITACION MES 11,PROMEDIO DE ROBOS A CASA HABITACION MES 12
1,0,0.7,0.1,1.3,0.7,1.3,1.2,0.8,1.3,1.7,0.7,0.4,0.2
2,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,18838,6.0,4.6,3.9,5.0,4.5,4.5,5.0,5.2,3.2,4.1,1.8,2.4
4,20919,1.5,2.5,2.9,2.4,2.1,1.4,1.9,1.9,2.3,1.8,2.4,1.9
5,391,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0
6,24485,4.3,3.0,4.2,3.6,2.6,3.5,2.8,3.1,2.5,1.7,2.0,2.4
7,31984,3.5,5.0,4.5,4.6,4.2,4.0,4.2,4.1,3.7,4.8,2.9,2.9
8,28901,4.8,3.7,5.0,4.8,3.4,4.1,3.6,4.6,3.8,3.3,3.5,4.2
9,25765,2.9,4.3,4.3,3.0,3.4,3.0,2.3,4.2,2.9,3.4,4.6,3.7
10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,22683,2.6,1.4,1.7,1.8,2.1,1.9,1.4,2.5,1.1,1.2,1.3,0.9
12,13257,2.1,2.3,3.0,2.1,3.4,2.3,3.0,3.0,2.4,0.8,2.1,1.9
13,19409,2.2,2.9,3.4,3.0,3.1,2.8,2.6,3.5,2.6,2.5,3.4,2.8
14,12702,2.5,3.6,2.7,2.3,1.1,1.2,1.5,2.3,1.3,1.4,1.8,1.5
15,13235,1.8,1.9,2.1,2.6,2.6,2.4,1.6,2.3,1.2,1.6,2.1,1.1
16,12090,1.7,1.1,1.8,2.5,1.7,1.8,1.3,2.2,1.4,1.6,1.9,1.9
17,14614,1.4,2.1,2.8,2.0,1.3,2.3,1.4,1.4,2.1,0.7,1.7,1.0
18,23000,3.8,2.6,3.3,3.4,3.8,3.7,2.6,2.9,2.7,2.5,1.7,2.6
19,18635,1.3,1.0,3.3,1.9,1.9,1.9,1.3,2.3,1.1,1.2,2.1,1.3
20,16290,2.2,2.7,4.4,2.8,3.3,2.5,1.8,2.1,2.8,2.2,2.8,2.4
21,30386,2.5,2.3,1.9,2.0,2.6,1.8,3.3,1.6,2.0,1.6,1.5,2.3
22,12211,1.1,1.0,2.5,1.4,0.9,0.8,1.2,0.7,0.3,1.0,0.6,1.4
23,10188,1.3,1.0,1.3,0.8,0.8,1.4,0.8,1.0,1.1,1.0,1.3,0.8
24,15560,2.2,2.3,2.8,3.0,1.4,3.8,1.6,2.2,2.9,3.0,2.8,2.9
25,12620,3.0,2.2,2.9,3.9,3.6,4.0,1.6,3.4,2.9,3.7,1.4,2.0
26,14883,2.3,2.5,3.0,1.8,2.2,2.1,2.9,3.8,1.4,1.3,2.0,1.0
27,8729,1.7,1.7,1.9,2.4,2.1,1.5,1.5,1.4,2.2,2.4,1.2,2.4
28,24498,2.7,2.9,2.6,1.7,2.1,2.3,1.5,2.7,2.2,2.9,2.8,2.0
29,13458,1.2,0.8,1.4,0.7,1.3,0.5,0.5,0.5,0.6,1.2,1.2,0.9
30,14497,0.2,0.8,0.7,0.3,0.2,0.6,0.4,0.4,0.7,0.4,0.6,0.6
31,17033,2.8,2.1,2.2,2.6,2.5,1.9,1.9,3.0,2.8,2.6,2.1,2.0
32,9036,1.5,1.0,0.9,1.5,1.1,0.8,1.1,0.2,0.8,1.6,1.7,1.0
33,9694,1.0,1.1,1.7,1.3,1.5,1.9,2.2,1.0,1.2,1.7,1.6,2.2
34,12763,0.7,0.3,0.3,0.3,0.2,0.3,0.3,0.1,0.5,0.7,0.8,0.1
35,6899,1.2,1.6,0.6,0.9,0.7,0.7,1.0,1.0,1.0,0.6,1.1,0.5
36,747,0.0,0.1,0.1,0.3,0.1,0.2,0.4,0.1,0.0,0.0,0.4,0.3
37,371,0.3,0.3,0.1,0.2,0.3,0.3,0.2,0.0,0.4,0.3,0.2,0.0
