CUADRANTE,POBLACION,PROMEDIO DE ROBOS A NEGOCIOS MES 1,PROMEDIO DE ROBOS A NEGOCIOS MES 2,PROMEDIO DE ROBOS A NEGOCIOS MES 3,PROMEDIO DE ROBOS A NEGOCIOS MES 4,PROMEDIO DE ROBOS A NEGOCIOS MES 5,PROMEDIO DE ROBOS A NEGOCIOS MES 6,PROMEDIO DE ROBOS A NEGOCIOS MES 7,PROMEDIO DE ROBOS A NEGOCIOS MES 8,PROMEDIO DE ROBOS A NEGOCIOS MES 9,PROMEDIO DE ROBOS A NEGOCIOS MES 10,PROMEDIO DE ROBOS A NEGOCIOS MES 11,PROMEDIO DE ROBOS A NEGOCIOS MES 12
1,0,0.2,0.2,0.1,0.5,0.0,0.4,0.1,0.5,0.0,0.3,0.0,0.1
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,18838,1.3,1.3,1.1,1.3,0.8,0.8,1.2,1.7,1.7,1.3,1.2,1.1
4,20919,0.2,0.5,0.7,0.3,0.4,0.5,0.9,0.5,0.1,0.6,0.6,0.3
5,391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
6,24485,1.9,2.4,1.8,1.7,2.0,2.0,3.0,1.9,1.0,2.7,1.7,2.1
7,31984,3.9,3.6,4.0,2.3,3.4,2.8,2.6,3.2,1.7,3.5,3.9,2.9
8,28901,4.0,4.6,4.7,4.0,3.2,4.3,3.5,5.1,3.1,4.0,4.3,3.5
9,25765,2.3,1.7,2.3,2.1,1.8,1.1,1.6,2.4,1.5,1.8,1.8,1.9
10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,22683,0.8,2.4,1.1,1.2,1.3,1.2,0.8,1.6,1.1,1.6,1.4,1.6
12,13257,2.5,4.0,2.9,3.4,2.7,2.4,3.0,2.9,2.5,2.7,2.6,2.3
13,19409,5.1,4.8,5.8,4.3,3.9,4.0,4.4,4.7,3.3,3.7,4.5,4.5
14,12702,1.6,1.4,3.0,1.3,2.8,2.0,2.2,1.5,0.9,1.6,0.9,1.4
15,13235,0.6,0.3,1.1,1.1,0.6,1.2,1.5,1.1,0.7,1.2,1.2,0.5
16,12090,2.3,2.9,2.7,2.3,3.2,2.3,3.3,1.6,1.5,2.0,2.1,2.6
17,14614,2.4,2.6,2.6,3.3,2.7,2.3,2.7,2.8,2.7,2.1,2.1,1.8
18,23000,1.9,2.5,2.7,1.7,2.4,2.3,1.3,3.0,1.8,1.9,2.1,2.2
19,18635,1.5,2.2,2.4,2.6,3.0,2.7,2.1,2.4,1.2,1.6,2.0,2.5
20,16290,1.6,2.1,2.0,2.0,1.5,1.8,2.0,2.5,2.4,1.6,2.2,1.6
21,30386,2.5,2.7,3.2,2.4,2.7,2.4,1.8,2.6,2.3,2.5,2.4,1.9
22,12211,3.1,3.6,3.3,2.8,3.1,2.3,3.0,2.5,3.0,3.2,2.7,2.5
23,10188,1.7,3.4,1.8,2.5,2.4,1.7,2.3,1.9,2.7,1.2,2.8,1.7
24,15560,4.0,3.9,3.8,3.7,4.0,3.7,4.4,4.0,5.3,3.4,4.4,2.3
25,12620,4.9,5.2,5.5,4.3,4.8,4.4,4.4,4.7,4.1,4.9,3.9,4.0
26,14883,1.2,1.4,1.3,2.4,1.2,2.1,2.4,2.3,1.4,2.4,1.3,1.7
27,8729,2.0,3.9,1.8,2.4,2.3,2.1,2.6,2.5,1.6,1.5,1.8,1.2
28,24498,1.5,2.9,1.8,2.3,1.4,2.2,2.2,2.1,1.4,1.4,1.9,1.5
29,13458,1.4,1.4,0.7,0.7,2.2,0.9,0.8,0.8,1.0,0.8,1.1,1.5
30,14497,0.4,0.5,0.7,0.4,0.6,0.6,0.6,0.9,0.3,0.2,0.7,0.1
31,17033,4.2,5.6,4.0,4.4,4.5,5.4,4.5,4.0,3.7,3.4,3.8,4.0
32,9036,1.6,2.7,1.7,2.0,2.1,2.8,2.8,3.1,1.2,2.9,3.3,1.9
33,9694,1.5,2.9,1.7,2.6,2.2,2.3,1.4,1.9,2.2,2.7,1.8,2.1
34,12763,0.1,0.6,0.5,0.3,0.3,0.2,0.1,0.0,0.3,0.4,0.4,0.1
