CUADRANTE,POBLACION,PROMEDIO DE ROBOS DE VEHICULO MES 1,PROMEDIO DE ROBOS DE VEHICULO MES 2,PROMEDIO DE ROBOS DE VEHICULO MES 3,PROMEDIO DE ROBOS DE VEHICULO MES 4,PROMEDIO DE ROBOS DE VEHICULO MES 5,PROMEDIO DE ROBOS DE VEHICULO MES 6,PROMEDIO DE ROBOS DE VEHICULO MES 7,PROMEDIO DE ROBOS DE VEHICULO MES 8,PROMEDIO DE ROBOS DE VEHICULO MES 9,PROMEDIO DE ROBOS DE VEHICULO MES 10,PROMEDIO DE ROBOS DE VEHICULO MES 11,PROMEDIO DE ROBOS DE VEHICULO MES 12
1,0,0.0,0.0,0.1,0.0,0.2,0.0,0.1,0.2,0.0,0.0,0.1,0.1
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
3,18838,0.6,0.4,0.0,0.4,0.4,0.6,0.3,0.5,1.0,0.9,0.9,0.5
4,20919,0.7,0.3,0.2,0.4,0.6,0.2,0.7,0.8,0.6,0.3,0.3,0.5
5,391,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,24485,0.4,1.4,1.3,0.9,1.3,0.7,0.2,1.5,0.8,1.2,0.9,0.7
7,31984,1.8,1.9,2.3,1.4,1.4,0.9,1.3,1.8,1.2,1.2,1.7,1.5
8,28901,1.2,2.2,2.2,1.6,1.3,1.9,0.9,2.3,1.9,1.8,1.1,1.3
9,25765,0.4,0.6,0.6,0.8,1.1,0.5,0.8,1.3,0.5,1.3,0.8,1.0
10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,22683,0.4,0.4,1.0,0.8,0.4,0.6,0.5,0.6,0.3,0.3,0.9,0.4
12,13257,1.3,1.3,1.1,1.3,1.5,0.7,1.2,1.2,1.1,0.5,0.9,0.8
13,19409,1.1,1.0,1.9,1.1,0.8,1.3,0.7,1.8,2.2,1.0,0.6,1.1
14,12702,0.4,0.7,0.3,0.5,0.7,0.5,0.9,0.5,0.6,0.6,0.5,0.6
15,13235,0.8,0.1,0.7,0.1,0.5,0.3,0.2,0.4,0.5,0.5,0.9,0.3
16,12090,0.5,0.2,1.2,0.8,0.4,0.6,0.4,0.8,0.3,0.8,0.8,0.4
17,14614,0.4,0.5,0.6,0.6,0.6,0.3,0.7,0.5,0.8,0.2,0.2,0.1
18,23000,1.2,0.5,1.1,0.8,0.5,0.5,0.1,0.8,1.0,0.8,0.6,0.8
19,18635,1.7,0.4,0.9,1.0,1.4,0.7,1.3,0.9,0.9,1.5,0.9,0.8
20,16290,0.5,0.9,0.3,0.5,0.7,0.6,0.1,0.5,1.1,0.4,0.5,0.8
21,30386,1.5,1.2,0.8,0.8,0.9,1.5,1.9,0.7,1.2,1.0,1.6,2.0
22,12211,0.9,0.8,0.6,1.0,0.7,0.9,1.0,1.4,0.8,0.7,0.7,1.1
23,10188,0.8,0.5,0.3,0.9,0.5,0.6,0.3,0.5,0.6,0.7,0.2,0.0
24,15560,0.8,0.4,1.0,0.4,0.7,0.9,1.3,1.6,1.5,0.5,0.7,0.8
25,12620,2.5,1.7,3.7,2.0,1.4,1.3,2.4,2.9,1.5,2.0,1.8,1.5
26,14883,1.3,1.1,0.8,0.8,0.7,1.0,1.4,0.8,0.4,1.1,0.8,0.7
27,8729,0.2,0.5,0.5,0.8,0.3,0.4,0.9,0.7,0.7,0.1,0.2,0.5
28,24498,0.9,1.0,0.3,0.7,0.8,0.5,0.1,0.4,0.4,0.5,0.7,0.5
29,13458,0.4,0.3,0.3,0.0,0.8,0.7,0.6,1.7,0.3,0.9,0.6,0.5
30,14497,0.5,0.0,0.0,0.2,0.2,0.2,0.3,0.4,0.2,0.2,0.0,0.1
31,17033,0.8,1.4,1.3,1.6,0.9,1.8,1.1,1.9,1.5,1.2,1.2,1.3
32,9036,0.9,0.7,0.8,2.1,1.1,0.6,0.7,1.3,0.7,0.6,0.8,0.9
33,9694,1.0,0.6,0.3,1.0,0.1,0.9,0.6,0.9,1.0,0.5,0.8,0.6
34,12763,0.2,0.2,0.0,0.2,0.2,0.1,0.7,0.6,0.3,0.3,0.0,0.4
