NOM_ENT,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,P_0A4,P_0A4_F,P_0A4_M,P_5A9,P_5A9_F,P_5A9_M,P_10A14,P_10A14_F,P_10A14_M,P_15A19,P_15A19_F,P_15A19_M,P_20A24,P_20A24_F,P_20A24_M,P_25A29,P_25A29_F,P_25A29_M,P_30A34,P_30A34_F,P_30A34_M,P_35A39,P_35A39_F,P_35A39_M,P_40A44,P_40A44_F,P_40A44_M,P_45A49,P_45A49_F,P_45A49_M,P_50A54,P_50A54_F,P_50A54_M,P_55A59,P_55A59_F,P_55A59_M,P_60A64,P_60A64_F,P_60A64_M,P_65A69,P_65A69_F,P_65A69_M,P_70A74,P_70A74_F,P_70A74_M,P_75A79,P_75A79_F,P_75A79_M,P_80A84,P_80A84_F,P_80A84_M,P_85YMAS,P_85YMAS_F,P_85YMAS_M,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
Chihuahua,Chihuahua,1,Chihuahua,"106°04'34.704"" W","28°38'12.458"" N",1424,925762,474776,450986,36969,18234,18735,886805,455549,431256,858166,441414,416752,759399,392979,366420,716611,371903,344708,672813,350335,322478,42910,21077,21833,84496,41493,43003,99352,48834,50518,42788,21076,21712,43798,21568,22230,111399,55339,56060,251417,115002,64487,50515,94.99,207163,640927,75684,65608,32369,33239,70059,34331,35728,71496,35180,36316,75668,37278,38390,79529,39629,39900,77943,39256,38687,71335,36189,35146,67043,34114,32929,61938,32177,29761,62918,32774,30144,57787,30504,27283,47448,25495,21953,39318,21517,17801,27737,15273,12464,20157,11361,8796,13446,7630,5816,8320,4880,3440,6024,3826,2198,1.83,839267,432859,406408,72117,35249,36868,837406,432351,405055,14984,7051,7933,8994,4707,4287,102,74,28,8723,4555,4168,8792,86,8541,16546,16776,8375,8401,39280,21060,14780,5383,7674,7928,7382,92691,31899,55507,5702,19630,5634,18728,13647,784310,13359,6448,6911,3081,1428,1653,2445,1068,1377,35996,18133,17863,52020,26480,25540,1458,586,872,7004,3619,3385,10349,5340,5009,26026,13348,12678,62654,32267,30387,14055,6093,7962,169360,89961,79399,400681,205814,194867,11.47,11.45,11.5,483409,212527,270882,274366,179642,94724,474416,209400,265016,8993,3127,5866,100300,822502,547457,60484,14047,3144,113293,4243,45948,60581,274585,384216,99930,725432,96973,989,97565,296670,107258,189412,923433,306555,616878,343627,296779,325784,278936,296478,296670,36421,10427,923433,3.11,0.7,294235,1491,70034,225783,5215,20183,270417,295532,302,293513,288349,2297,226866,24165,294722,581,294824,925,292766,67,294374,75620,372,291206,270673,236845,217440,17254,25162,205876,286905,164429,152908,281424,209425,140569,107030,63999,4721,7058,73517,1036,13
Chihuahua,Chihuahua,26,Francisco I. Madero (San Isidro Calabacillas),"106°18'03.973"" W","28°45'28.822"" N",1667,38,13,25,0,0,0,38,13,25,38,13,25,35,11,24,33,10,23,32,9,23,0,0,0,3,2,1,5,3,2,2,1,1,1,1,0,3,1,2,5,14,4,10,192.31,5,20,13,0,0,0,0,0,0,5,3,2,1,1,0,3,1,2,0,0,0,1,1,0,1,0,1,1,1,0,5,1,4,1,0,1,6,1,5,1,1,0,2,1,1,7,2,5,0,0,0,4,0,4,0,0,0,2.36,36,12,24,1,1,0,36,12,24,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,2,0,0,0,8,2,4,0,2,0,1,11,2,6,0,5,0,1,0,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,12,3,9,9,1,8,0,0,0,5,3,2,5,2,3,6.36,7.4,5.91,20,3,17,15,8,7,19,3,16,1,0,1,10,28,17,0,0,0,6,0,0,5,8,23,4,36,1,0,1,19,0,19,38,0,38,59,19,59,19,19,19,4,36,38,2,0.6,19,0,4,15,1,0,18,19,0,19,1,0,12,1,17,0,17,2,17,0,17,3,0,19,11,13,16,8,0,16,17,0,1,17,0,16,0,0,0,2,19,0,1
Chihuahua,Chihuahua,234,Abraham González,"105°43'35.052"" W","28°23'27.335"" N",1303,5,2,3,0,0,0,5,2,3,5,2,3,5,2,3,5,2,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,150,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,3,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,2,1,1,0,0,0,7.2,7.5,7,2,0,2,3,2,1,2,0,2,0,0,0,0,5,3,0,0,0,2,0,0,0,0,4,1,3,2,0,0,3,0,3,5,0,5,7,3,7,3,3,3,3,1,5,1.67,0.71,3,0,3,0,0,2,1,3,0,3,1,0,3,0,3,0,3,0,3,0,3,0,0,3,3,3,3,0,0,1,3,0,0,3,0,3,0,0,0,0,3,0,1
Chihuahua,Chihuahua,235,Rancho los Aguilares,"106°12'39.328"" W","28°08'58.961"" N",1472,94,51,43,6,2,4,88,49,39,84,45,39,78,42,36,74,38,36,70,36,34,4,4,0,6,3,3,8,7,1,4,4,0,4,2,2,8,5,3,23,24,9,15,84.31,20,60,14,10,6,4,4,1,3,6,6,0,4,2,2,8,5,3,6,4,2,7,4,3,9,5,4,3,2,1,2,1,1,5,3,2,6,3,3,10,6,4,5,2,3,3,0,3,4,1,3,2,0,2,0,0,0,2.36,91,48,43,1,1,0,83,44,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,1,1,0,2,17,5,12,1,3,0,4,2,68,4,4,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,4,0,4,1,0,1,30,11,19,19,10,9,0,0,0,17,12,5,5,4,1,5.97,6.92,4.97,48,18,30,30,24,6,48,18,30,0,0,0,25,69,16,6,3,0,46,0,0,0,19,48,11,84,0,0,10,32,6,26,94,21,73,47,32,47,32,31,32,7,8,94,2.94,0.75,28,3,13,18,1,3,27,31,0,30,0,1,3,0,28,0,28,3,28,0,28,12,0,28,26,19,19,0,4,22,26,1,6,27,7,22,0,1,2,2,24,0,1
Chihuahua,Chihuahua,236,El Alamillo,"106°11'34.182"" W","28°15'39.237"" N",1588,39,18,21,0,0,0,39,18,21,38,18,20,36,16,20,35,15,20,34,14,20,1,0,1,2,2,0,3,3,0,1,1,0,1,1,0,0,0,0,4,22,9,13,116.67,4,14,21,1,0,1,0,0,0,3,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,2,2,2,1,1,2,2,0,3,0,3,1,1,0,3,1,2,2,1,1,5,3,2,10,3,7,1,0,1,4.19,39,18,21,0,0,0,38,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4,3,4,3,3,1,0,1,0,1,0,0,2,29,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,23,8,15,4,3,1,1,1,0,2,2,0,3,0,3,4.51,4.47,4.55,18,1,17,18,15,3,18,1,17,0,0,0,1,38,0,0,0,0,36,0,0,2,7,20,9,39,0,0,0,18,3,15,39,10,29,32,18,32,18,18,18,7,7,39,2.17,0.44,17,1,9,9,0,1,17,18,0,18,1,0,17,2,18,0,18,0,18,0,18,0,0,18,17,14,18,1,0,15,18,0,1,17,0,18,0,0,0,0,18,0,1
Chihuahua,Chihuahua,237,Rancho el Alamillo,"106°14'03.657"" W","28°08'29.068"" N",1508,118,66,52,4,3,1,114,63,51,114,63,51,104,56,48,99,52,47,93,48,45,1,1,0,9,6,3,13,9,4,5,4,1,6,4,2,13,8,5,31,28,13,15,78.79,19,79,20,4,3,1,7,5,2,8,6,2,8,6,2,11,6,5,6,3,3,5,4,1,5,1,4,12,6,6,8,5,3,11,7,4,5,1,4,8,5,3,6,2,4,3,1,2,4,1,3,4,2,2,3,2,1,2.29,117,65,52,0,0,0,112,62,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,6,2,7,2,1,6,2,5,0,2,0,0,2,92,0,0,0,0,0,0,0,0,0,4,2,2,1,1,0,0,0,0,6,2,4,4,1,3,35,16,19,25,14,11,2,2,0,18,9,9,12,8,4,6.37,6.79,5.91,49,12,37,51,43,8,47,11,36,2,1,1,38,79,19,2,0,0,59,0,0,1,33,59,12,118,0,0,0,39,10,29,118,34,84,56,39,56,39,37,39,16,1,118,3.03,0.75,35,2,10,27,1,3,33,37,0,37,0,0,2,1,37,0,37,0,37,0,37,15,1,35,32,27,22,1,0,17,32,3,5,29,1,22,1,0,3,5,33,2,1
Chihuahua,Chihuahua,240,Ejido Bella Vista,"106°25'01.916"" W","29°03'22.652"" N",1675,90,42,48,6,4,2,84,38,46,83,37,46,76,33,43,70,30,40,69,30,39,3,2,1,5,3,2,9,5,4,6,3,3,1,0,1,4,3,1,11,23,9,14,114.29,20,56,14,7,5,2,6,3,3,7,4,3,1,0,1,4,3,1,5,3,2,5,1,4,6,2,4,4,1,3,3,1,2,8,4,4,11,6,5,9,3,6,8,4,4,4,2,2,1,0,1,1,0,1,0,0,0,2.97,89,42,47,0,0,0,82,37,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,4,3,1,2,1,2,0,82,2,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,7,1,6,30,11,19,1,0,1,19,10,9,0,0,0,11,3,8,9,6,3,4.69,5.3,4.23,50,9,41,26,24,2,50,9,41,0,0,0,18,71,43,0,0,0,31,0,0,0,17,54,5,74,13,0,2,30,13,17,90,46,44,46,30,45,29,30,30,3,13,90,3,0.8,30,0,10,20,0,2,28,30,0,30,0,0,27,1,29,1,30,0,30,0,30,2,0,30,27,24,28,5,8,26,29,7,12,27,26,25,0,1,0,1,4,0,1
Chihuahua,Chihuahua,241,Ciénega de Ortíz (Boca de Ciénega),"106°11'40.847"" W","28°07'56.071"" N",1497,48,24,24,0,0,0,48,24,24,48,24,24,47,24,23,47,24,23,46,24,22,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,6,24,15,9,100,1,25,22,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,1,0,1,4,2,2,2,0,2,3,3,0,1,0,1,3,1,2,7,2,5,2,1,1,5,4,1,6,3,3,2,1,1,7,5,2,2,1,1,2.79,47,23,24,1,1,0,48,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,7,5,5,4,8,14,3,10,0,7,0,2,4,19,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,4,2,2,3,1,2,24,13,11,11,4,7,1,0,1,4,3,1,4,3,1,5.17,5.63,4.7,25,9,16,22,15,7,25,9,16,0,0,0,13,35,10,1,0,0,24,0,0,0,9,25,13,40,0,0,8,26,9,17,48,15,33,37,26,36,25,26,26,3,8,48,1.85,0.51,26,0,17,9,1,6,19,26,0,26,0,0,5,0,26,0,26,0,26,0,26,11,0,26,17,21,14,1,2,16,21,2,6,17,0,13,0,1,3,5,24,3,1
Chihuahua,Chihuahua,242,Carrizalillo,"106°01'33.156"" W","28°31'56.797"" N",1562,29,11,18,1,0,1,28,11,17,27,10,17,26,10,16,24,9,15,24,9,15,1,1,0,1,0,1,3,1,2,2,1,1,0,0,0,4,2,2,6,8,2,6,163.64,5,19,5,2,1,1,1,0,1,2,1,1,0,0,0,4,2,2,1,0,1,1,1,0,3,2,1,4,1,3,0,0,0,0,0,0,3,1,2,3,2,1,0,0,0,3,0,3,0,0,0,1,0,1,1,0,1,3.3,28,11,17,0,0,0,27,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,2,0,0,0,22,1,1,0,1,0,1,1,0,1,0,0,0,2,1,1,0,0,0,3,1,2,2,0,2,8,4,4,3,0,3,0,0,0,7,4,3,4,1,3,6.63,6.78,6.53,19,5,14,7,5,2,19,5,14,0,0,0,16,12,4,0,0,0,8,0,0,0,9,14,3,25,1,0,2,13,1,12,29,2,27,19,13,19,13,13,13,0,6,29,2.23,0.81,13,0,7,6,3,3,7,13,0,12,1,1,7,2,13,0,13,0,12,0,12,3,0,13,11,9,10,0,0,9,12,3,0,11,2,6,0,0,0,2,9,0,1
Chihuahua,Chihuahua,243,La Casita,"106°06'54.946"" W","28°13'02.762"" N",1633,318,168,150,8,6,2,310,162,148,301,158,143,278,146,132,258,137,121,242,129,113,13,7,6,19,9,10,32,16,16,20,9,11,16,8,8,21,12,9,69,85,43,42,89.29,60,196,62,17,10,7,19,8,11,24,13,11,23,11,12,14,9,5,19,12,7,21,12,9,18,11,7,13,6,7,16,8,8,18,10,8,31,15,16,23,11,12,20,7,13,14,9,5,10,7,3,12,4,8,6,5,1,2.47,309,165,144,2,1,1,299,158,141,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,3,0,0,0,23,14,7,4,3,9,3,48,20,31,2,9,3,10,3,247,8,4,4,0,0,0,3,1,2,6,4,2,5,4,1,1,0,1,8,5,3,8,4,4,60,30,30,80,37,43,6,2,4,83,50,33,17,13,4,6.73,7.01,6.42,164,62,102,110,83,27,159,60,99,5,2,3,20,298,68,1,0,0,176,53,2,1,88,152,38,294,19,0,5,112,31,81,318,64,254,169,112,169,112,112,112,42,15,318,2.84,0.72,103,9,40,72,1,7,104,112,0,112,1,0,104,2,111,1,112,0,112,0,111,29,0,112,105,73,80,9,5,50,105,1,43,75,2,76,0,0,5,17,108,2,2
