CUADRANTE_ID,FECHA,ROBOS_TOTAL,AÑO,MES
1,2015-01-01,2,2015,1
1,2015-02-01,0,2015,2
1,2015-03-01,4,2015,3
1,2015-04-01,2,2015,4
1,2015-05-01,5,2015,5
1,2015-06-01,4,2015,6
1,2015-07-01,1,2015,7
1,2015-08-01,10,2015,8
1,2015-09-01,11,2015,9
1,2015-10-01,1,2015,10
1,2015-11-01,3,2015,11
1,2015-12-01,1,2015,12
1,2016-01-01,3,2016,1
1,2016-02-01,1,2016,2
1,2016-03-01,7,2016,3
1,2016-04-01,3,2016,4
1,2016-05-01,6,2016,5
1,2016-06-01,1,2016,6
1,2016-07-01,4,2016,7
1,2016-08-01,3,2016,8
1,2016-09-01,5,2016,9
1,2016-10-01,1,2016,10
1,2016-11-01,0,2016,11
1,2016-12-01,0,2016,12
1,2017-01-01,1,2017,1
1,2017-02-01,0,2017,2
1,2017-03-01,1,2017,3
1,2017-04-01,1,2017,4
1,2017-05-01,1,2017,5
1,2017-06-01,4,2017,6
1,2017-07-01,1,2017,7
1,2017-08-01,0,2017,8
1,2017-09-01,0,2017,9
1,2017-10-01,3,2017,10
1,2017-11-01,0,2017,11
1,2017-12-01,0,2017,12
1,2018-01-01,0,2018,1
1,2018-02-01,0,2018,2
1,2018-03-01,1,2018,3
1,2018-04-01,0,2018,4
1,2018-05-01,0,2018,5
1,2018-06-01,3,2018,6
1,2018-07-01,2,2018,7
1,2018-08-01,0,2018,8
1,2018-09-01,0,2018,9
1,2018-10-01,2,2018,10
1,2018-11-01,1,2018,11
1,2018-12-01,1,2018,12
1,2019-01-01,0,2019,1
1,2019-02-01,0,2019,2
1,2019-03-01,0,2019,3
1,2019-04-01,1,2019,4
1,2019-05-01,0,2019,5
1,2019-06-01,0,2019,6
1,2019-07-01,0,2019,7
1,2019-08-01,0,2019,8
1,2019-09-01,1,2019,9
1,2019-10-01,0,2019,10
1,2019-11-01,0,2019,11
1,2019-12-01,0,2019,12
1,2020-01-01,0,2020,1
1,2020-02-01,0,2020,2
1,2020-03-01,0,2020,3
1,2020-04-01,0,2020,4
1,2020-05-01,0,2020,5
1,2020-06-01,0,2020,6
1,2020-07-01,0,2020,7
1,2020-08-01,0,2020,8
1,2020-09-01,0,2020,9
1,2020-10-01,0,2020,10
1,2020-11-01,0,2020,11
1,2020-12-01,0,2020,12
1,2021-01-01,0,2021,1
1,2021-02-01,0,2021,2
1,2021-03-01,0,2021,3
1,2021-04-01,0,2021,4
1,2021-05-01,0,2021,5
1,2021-06-01,0,2021,6
1,2021-07-01,0,2021,7
1,2021-08-01,0,2021,8
1,2021-09-01,0,2021,9
1,2021-10-01,0,2021,10
1,2021-11-01,0,2021,11
1,2021-12-01,0,2021,12
1,2022-01-01,0,2022,1
1,2022-02-01,0,2022,2
1,2022-03-01,0,2022,3
1,2022-04-01,0,2022,4
1,2022-05-01,1,2022,5
1,2022-06-01,0,2022,6
1,2022-07-01,0,2022,7
1,2022-08-01,0,2022,8
1,2022-09-01,0,2022,9
1,2022-10-01,0,2022,10
1,2022-11-01,0,2022,11
1,2022-12-01,0,2022,12
1,2023-01-01,0,2023,1
1,2023-02-01,0,2023,2
1,2023-03-01,0,2023,3
1,2023-04-01,0,2023,4
