AÑO,MES,ROBOS_TOTAL
2015,1,345
2015,2,338
2015,3,404
2015,4,327
2015,5,337
2015,6,318
2015,7,317
2015,8,342
2015,9,308
2015,10,341
2015,11,280
2015,12,339
2016,1,368
2016,2,297
2016,3,330
2016,4,334
2016,5,300
2016,6,255
2016,7,286
2016,8,283
2016,9,261
2016,10,373
2016,11,406
2016,12,378
2017,1,425
2017,2,414
2017,3,470
2017,4,454
2017,5,464
2017,6,446
2017,7,453
2017,8,465
2017,9,417
2017,10,391
2017,11,354
2017,12,332
2018,1,329
2018,2,363
2018,3,405
2018,4,380
2018,5,334
2018,6,347
2018,7,248
2018,8,346
2018,9,261
2018,10,241
2018,11,249
2018,12,228
2019,1,278
2019,2,242
2019,3,219
2019,4,235
2019,5,284
2019,6,290
2019,7,281
2019,8,308
2019,9,296
2019,10,278
2019,11,320
2019,12,300
2020,1,376
2020,2,351
2020,3,289
2020,4,247
2020,5,212
2020,6,196
2020,7,214
2020,8,264
2020,9,198
2020,10,164
2020,11,162
2020,12,158
2021,1,0
2021,2,264
2021,3,326
2021,4,308
2021,5,233
2021,6,254
2021,7,295
2021,8,290
2021,9,255
2021,10,292
2021,11,319
2021,12,250
2022,1,224
2022,2,250
2022,3,297
2022,4,252
2022,5,253
2022,6,225
2022,7,248
2022,8,474
2022,9,233
2022,10,239
2022,11,215
2022,12,222
2023,1,229
2023,2,223
2023,3,232
2023,4,264
2023,5,272
2023,6,214
2023,7,244
2023,8,165
2023,9,203
2023,10,239
2023,11,214
2023,12,226
2024,1,262
2024,2,223
2024,3,210
2024,4,195
2024,5,172
2024,6,143
2024,7,192
2024,8,185
2024,9,156
2024,10,156
2024,11,158
2024,12,172
2025,1,124
2025,2,138
2025,3,163
2025,4,148
2025,5,149
2025,6,145
2025,7,100
2025,8,132
